,country,article_name,revision_id,article_quality_est.,population
488,Czech Republic,Julius Gregr,395521877.0,Stub,
489,Czech Republic,Edvard Gregr,395526568.0,Stub,
490,Czech Republic,Miroslav Poche,672862914.0,Stub,
491,Czech Republic,Vojtěch Mynář,673008587.0,Stub,
492,Czech Republic,Jan Malypetr,704424304.0,Stub,
493,Czech Republic,Emanuel Moravec,705080136.0,Start,
494,Czech Republic,Vladimír Hučín,707597623.0,Start,
495,Czech Republic,Pavla Topolánková,709676840.0,Start,
496,Czech Republic,Josef Barák,711675761.0,Stub,
497,Czech Republic,Antonín Švehla,712426548.0,Stub,
498,Czech Republic,Jakob Marzel Sternberger,713698544.0,Stub,
499,Czech Republic,Alois Anderka,714174726.0,Stub,
500,Czech Republic,Ivan Dejmal,715467197.0,Start,
501,Czech Republic,Franz Macoun,715640391.0,Stub,
502,Czech Republic,Karel Urbánek,716711851.0,Stub,
503,Czech Republic,Vladimír Klokočka,717429365.0,Start,
504,Czech Republic,Jaromír Jermář,720027362.0,Stub,
505,Czech Republic,Artur London,721736524.0,Start,
506,Czech Republic,František Sláma (politician),722937211.0,Stub,
507,Czech Republic,Jan Kubice,723151837.0,Stub,
508,Czech Republic,Kamil Jankovský,723207013.0,Stub,
509,Czech Republic,Václav Vacek,724691268.0,Stub,
510,Czech Republic,Čestmír Císař,725362978.0,C,
511,Czech Republic,Luca Rovinalti,726666131.0,Stub,
512,Czech Republic,Kamil Krofta,726762194.0,Start,
513,Czech Republic,Milan Štěch,728506208.0,Stub,
514,Czech Republic,Antonín Janoušek,729912438.0,Stub,
515,Czech Republic,Bedřich Geminder,730146355.0,Stub,
516,Czech Republic,Karel Domin,735174171.0,Start,
517,Czech Republic,Hubert Ripka,737562321.0,Start,
518,Czech Republic,Tomáš Eduard Šilinger,741588720.0,Stub,
519,Czech Republic,Petr Janyška,741798984.0,Stub,
520,Czech Republic,Jana Juřenčáková,743423675.0,Stub,
521,Czech Republic,Jaromír Nečas,744448745.0,Stub,
522,Czech Republic,Siegfried Taub,744612257.0,Start,
523,Czech Republic,Záviš Kalandra,746707985.0,Stub,
524,Czech Republic,Alois Rašín,749575931.0,Start,
525,Czech Republic,Bedřich Reicin,749945936.0,Start,
526,Czech Republic,Bernd Richter,751718674.0,Stub,
527,Czech Republic,Kamil Kalina,753045804.0,Stub,
528,Czech Republic,Richard Sacher,755428089.0,Stub,
529,Czech Republic,Václav Fischer,756317863.0,Start,
530,Czech Republic,Božena Viková-Kunětická,757336278.0,Stub,
531,Czech Republic,Mikuláš of Hus,758942647.0,Stub,
532,Czech Republic,Gertruda Sekaninová-Čakrtová,759446334.0,GA,
533,Czech Republic,Petr Mlsna,765838180.0,Stub,
534,Czech Republic,Antonín Cyril Stojan,768047769.0,C,
535,Czech Republic,František Kubka,768676716.0,Stub,
536,Czech Republic,Josef Pfitzner,773853256.0,Start,
537,Czech Republic,Vladimír Franz,774595725.0,C,
538,Czech Republic,Jan Stocklassa,776095794.0,Stub,
539,Czech Republic,Jaroslav Krejčí,776197284.0,Start,
540,Czech Republic,Libuše Benešová,776338134.0,Stub,
541,Czech Republic,Daniela Filipiová,776338195.0,Start,
542,Czech Republic,Moses Porges von Portheim,776487173.0,Start,
543,Czech Republic,Jan Kasl,776508129.0,Start,
544,Czech Republic,Jiří Kittner,776509425.0,Stub,
545,Czech Republic,Miloslav Vlček,776513404.0,Stub,
546,Czech Republic,Ivo Svoboda (politician),776513552.0,Start,
547,Czech Republic,Hana Orgoníková,776513802.0,Stub,
548,Czech Republic,Pavel Dostál,776514175.0,Start,
549,Czech Republic,Jiří Lobkowicz,776751749.0,Stub,
550,Czech Republic,Bohuslav Kokotek,777876483.0,Stub,
551,Czech Republic,Alena Hanáková,778095433.0,Stub,
552,Czech Republic,Irena Kočí,779417455.0,Stub,
553,Czech Republic,Martin Netolický,779417738.0,Stub,
554,Czech Republic,David Rath,779418369.0,Start,
555,Czech Republic,Eva Nováková,779498276.0,Stub,
556,Czech Republic,Vojtěch Adam,779500408.0,Stub,
557,Czech Republic,Vlastimil Balín,779500749.0,Stub,
558,Czech Republic,Jiří Dolejš,779500957.0,Stub,
559,Czech Republic,Zuzka Bebarová-Rujbrová,779501010.0,Stub,
560,Czech Republic,Marie Stiborová,779501096.0,Start,
561,Czech Republic,Jiří Svoboda (politician),779501161.0,Stub,
562,Czech Republic,Miloslava Vostrá,779501194.0,Stub,
563,Czech Republic,Jiří Čeřovský,779501654.0,Stub,
564,Czech Republic,Jan Korger,779501783.0,Stub,
565,Czech Republic,Kateřina Jacques,779581127.0,C,
566,Czech Republic,Tomáš Chalupa,779839245.0,Stub,
567,Czech Republic,Pavel Blažek,779839319.0,Stub,
568,Czech Republic,Aleš Řebíček,779839400.0,Stub,
569,Czech Republic,Ivan Langer,779839455.0,Start,
570,Czech Republic,Jan Stráský,779839492.0,Start,
571,Czech Republic,Jan Chvojka,779842639.0,Stub,
572,Czech Republic,Marie Benešová,779847262.0,Stub,
573,Czech Republic,Juraj Chmiel,779847492.0,Stub,
574,Czech Republic,Daniela Kovářová,779847531.0,Stub,
575,Czech Republic,Rostislav Vondruška,779847687.0,Stub,
576,Czech Republic,Martin Štěpánek (actor),779847799.0,Start,
577,Czech Republic,Helena Třeštíková,779847837.0,Stub,
578,Czech Republic,Milena Vicenová,779847883.0,Stub,
579,Czech Republic,Jaroslav Bašta,779848743.0,Stub,
580,Czech Republic,Josef Lux,779849059.0,Stub,
581,Czech Republic,Miroslav Macek,779849258.0,Stub,
582,Czech Republic,Ladislav Miko,779849694.0,Stub,
583,Czech Republic,Džamila Stehlíková,779849767.0,Stub,
584,Czech Republic,Jozef Moravčík,780051829.0,Stub,
585,Czech Republic,Milan Uhde,780321961.0,Stub,
586,Czech Republic,František Pitra,780534080.0,Stub,
587,Czech Republic,Oldřich Černík,780534267.0,Stub,
588,Czech Republic,Otakar Motejl,780868492.0,Start,
589,Czech Republic,Ludwig Czech,780887131.0,Stub,
590,Czech Republic,Rudolf Beran,780921783.0,Start,
591,Czech Republic,Victor Adler,782058966.0,Start,
592,Czech Republic,Emil Beier,782384016.0,Stub,
593,Czech Republic,Bruno Kafka,783065752.0,Stub,
594,Czech Republic,Lucie Talmanová,783711789.0,Start,
595,Czech Republic,Martin Mejstřík,783737915.0,Stub,
596,Czech Republic,Vlastimil Tusar,784145485.0,Start,
597,Czech Republic,Petr Bendl,784826685.0,Start,
598,Czech Republic,Petr Gandalovič,784826720.0,Start,
599,Czech Republic,Tomáš Vandas,784968648.0,Start,
600,Czech Republic,Robert Mayr-Harting,785085345.0,Stub,
601,Czech Republic,Karel Havlíček Borovský,785407597.0,C,
602,Czech Republic,Jan Černý,786162238.0,Start,
603,Czech Republic,Josef Frank (politician),786399604.0,Stub,
604,Czech Republic,Philip Kinsky of Wchinitz and Tettau,786612217.0,Start,
